id, revisionId
2736253,1
2735559,1
2735402,1
2733070,1
2732428,1
2731941,1
2731940,1
2731939,1
2729898,1
2729897,1
2729896,1
2728479,1
2727939,1
2727938,1
2727556,1
2726616,1
2694608,1
2694607,1
2686637,1
2686636,1
2686635,1
2686634,1
2683427,1
2683426,1
2678389,4
2678387,1
2678258,2
2677525,1
2677505,1
2677502,1
2501363,1
2501362,1
2501361,1
2501360,1
2501359,1
2501358,1
2501357,1
2501356,1
2501355,1
2501354,1
2501353,1
2501352,1
2501351,1
2501350,1
2501349,1
2501348,1
2501347,1
2501346,1
2501345,1
2501344,1
2501343,1
2501342,1
2501341,1
2501340,1
2501339,1
2501338,1
2501337,1
2501336,1
2500929,1
2500923,1
2500922,1
2500921,1
2500920,2
2500805,1
2500804,1
2500803,1
2500802,1
2500801,1
2500800,1
2500799,1
2500798,1
2500797,1
2500796,1
2500795,1
2500794,1
2500793,1
2500792,1
2500791,1
2500790,1
2500789,1
2500788,1
2500787,1
2500786,1
2500785,1
2500784,1
2500783,1
2500782,1
2500781,1
2500780,2
2500331,1
2496995,1
2496992,1
2495358,1
2495348,1
2494729,1
2494728,1
2494726,1
2494725,1
2494724,1
2491860,2
